Section,Offense,Punishment
IPC_249,Altering appearance of Indian coin with intent that it shall pass as a coin of a different description,7 Years + Fine
IPC_250,Delivery to another of coin possessed with the knowledge that it is altered,5 Years + Fine
IPC_251,Delivery of Indian coin possessed with the knowledge that it is altered,10 Years + Fine
IPC_252,Possession of altered coin by a person who knew it to be altered when he became possessed thereof,3 Years + Fine
IPC_253,Possession of Indian coin by a person who knew it to be altered when he became possessed thereof,5 Years + Fine
IPC_254,"Delivery to another of coin as genuine which, when first possessed, the deliverer did not know to be altered",2 Years or Fine or 10 x Value of Coin
IPC_255,Counterfeiting a Government stamp,Imprisonment for Life or 10 Years + Fine
IPC_256,Having possession of an instrument or material for the purpose of counterfeiting a Government stamp,7 Years + Fine
IPC_257,"Making, buying or selling instrument for the purpose of counterfeiting a Government stamp",7 Years + Fine
IPC_258,Sale of counterfeit Government stamp,7 Years + Fine
IPC_259,Having possession of a counterfeit Government stamp,7 Years + Fine
IPC_260,Using as genuine a Government stamp known to be counterfeit,7 Years or Fine or Both
IPC_261,"Effacing any writing from a substance bearing a Government stamp, or removing from a document a stamp used for it, with intent to cause a loss to Government",3 Years or Fine or Both
IPC_262,Using a Government stamp known to have been before used,2 Years or Fine or Both
IPC_263,Erasure of mark denoting that stamps have been used,3 Years or Fine or Both
IPC_263A,Fictitious stamps,Fine
IPC_264,Fraudulent use of false instrument for weighing,1 Year or Fine or Both
IPC_265,Fraudulent use of false weight or measure,1 Year or Fine or Both
IPC_266,Being in possession of false weights or measures for fraudulent use,1 Year or Fine or Both
IPC_267,Making or selling false weights or measures for fraudulent use,1 Year or Fine or Both
IPC_268,nan,nan
IPC_269,Negligently doing any act known to be likely to spread infection of any disease dangerous to life,6 Months or Fine or Both
IPC_270,Malignantly doing any act known to be likely to spread infection of any disease dangerous to life,2 Years or Fine or Both
IPC_271,Knowingly disobeying any quarantine rule,6 Months or Fine or Both
IPC_272,"Adulterating food or drink intended for sale, so as to make the same noxious",6 Months or Fine or Both
IPC_273,"Selling any food or drink as food and drink, knowing the same to be noxious",6 Months or Fine or Both
IPC_274,"Adulterating any drug or medical preparation intended for sale so as to lessen its efficacy, or to change its operation, or to make it noxious",6 Months or Fine or Both
IPC_275,Offering for sale or issuing from a dispensary any drug or medical preparation known to have been adulterated,6 Months or Fine or Both
IPC_276,Knowingly selling or issuing from a dispensary any drug or medical preparation as a different drug or medical preparation,6 Months or Fine or Both
IPC_277,Defiling the water of a public spring or reservoir,3 Months or Fine or Both
IPC_278,Making atmosphere noxious to health,Fine
IPC_279,"Driving or riding on a public way so rashly or negligently as to endanger human life, etc.",6 Months or Fine or Both
IPC_280,"Navigating any vessel so rashly or negligently as to endanger human life, etc.",6 Months or Fine or Both
IPC_281,"Exhibition of a false light, mark or buoy",7 Years or Fine or Both
IPC_282,"Conveying for hire any person by water, in a vessel in such a state, or so loaded, as to endanger his life",6 Months or Fine or Both
IPC_283,"Causing danger, obstruction or, injury in any public way or line of navigation",Fine
IPC_284,"Dealing with any poisonous substance so as to endanger human life, etc.",6 Months or Fine or Both
IPC_285,"Dealing with fire or any combustible matter so as to endanger human life, etc.",6 Months or Fine or Both
IPC_286,So dealing with any explosive substance,6 Months or Fine or Both
IPC_287,So dealing with any machinery,6 Months or Fine or Both
IPC_288,A person omitting to guard against probable danger to human life by the fall of any building over which he has a right entitling him to pull it down or repair it,6 Months or Fine or Both
IPC_289,"A person omitting to take order with any animal in his possession, so as to guard against danger to human life, or of grievous hurt, from such animal",6 Months or Fine or Both
IPC_290,Committing a public nuisance,Fine
IPC_291,Committing a nuisance after injunction to discontinue,"Simple Imprisonment for 6 Months, or Fine, or Both"
IPC_292,"Sale, etc., of obscene books, etc.","First conviction 2 Years + Fine, then 5 Years + Fine"
IPC_293,"Sale etc., of obscene objects to young persons","First conviction 3 Years + Fine, then 7 Years + Fine"
IPC_294,Obscene Songs,3 Months or Fine or Both
IPC_294A,Keeping a lottery office,6 Months or Fine or Both
IPC_295,"Destroying, damaging or defiling a place of worship or sacred object with intent to insult the religion of any class of persons",2 Years or Fine or Both
IPC_295A,Maliciously insulting the religions or the religious beliefs of any class,3 Years or Fine or Both
IPC_296,Causing a disturbance to an assembly engaged in religious worship,1 Year or Fine or Both
IPC_297,"Trespassing in place of worship or sepulchre, disturbing funeral with intention to wound the feeling or to insult the religion of any person, or offering indignity to a human corpse",1 Year or Fine or Both
IPC_298,"Uttering any word or making any sound in the hearing or making any gesture, or placing any object in the sight of any person, with intention to wound his religious feelings",1 Year or Fine or Both
IPC_299,nan,nan
IPC_29A,nan,nan
IPC_300,nan,nan
IPC_301,nan,nan
IPC_302,Murder,Death or Imprisonment for Life + Fine
IPC_303,Murder by a person under Sentence of imprisonment for life,Death
IPC_304,"Culpable homicide not amounting to murder, If act by which the death is caused is done with intention of causing death, etc.",Imprisonment for Life or 10 Years + Fine
IPC_304A,Causing death by rash or negligent act,2 Years or Fine or Both
IPC_304B,Dowry death,"Imprisonment for not less than 7 Years, but upto Life"
IPC_305,"Abetment of suicide committed by child or insane or delirious person or an idiot, or a person intoxicated",Death or Imprisonment for Life or 10 Years + Fine
IPC_306,Abetting the Commission of suicide,10 Years + Fine
IPC_307,Attempt to murder,10 Years + Fine
IPC_308,Attempt to commit culpable homicide,3 Years or Fine or Both
IPC_309,Attempt to commit suicide,Simple Imprisonment for 1 Year or Fine or Both
IPC_310,nan,nan
IPC_311,OffencePunishment,Being a thug
IPC_312,Causing miscarriage,3 Years or Fine or Both
IPC_313,Causing miscarriage without womanâ€™s consent,Imprisonment for Life or 10 Years + Fine
IPC_314,Death caused by an act done with intent to cause miscarriage,10 Years + Fine
IPC_315,"Act done with intent to prevent a child being born alive, or to cause it to die after its birth",10 Years or Fine or Both
IPC_316,Causing death of a quick unborn child by an act amounting to culpable homicide,10 Years and Fine
IPC_317,Exposure of a child under 12 Years of age by parent or person having care of it with intention of wholly abandoning it,7 Years or Fine or Both
IPC_318,Concealment of birth by secret disposal of dead body,2 Years or Fine or Both
IPC_319,nan,nan
IPC_320,nan,nan
IPC_321,nan,nan
IPC_322,nan,nan
IPC_323,Voluntarily causing hurt,1 Year or Fine or Both
IPC_324,Voluntarily causing hurt by dangerous weapons or means,3 Years or Fine or Both
IPC_325,Voluntarily causing grievous hurt,7 Years + Fine
IPC_326,Voluntarily causing grievous hurt by dangerous weapons or means,Imprisonment for Life or 10 Years + Fine
IPC_326A,"Voluntarily causing grievous hurt by use of acid, etc.",10 years to Life + Fine paid to the victim
IPC_326B,Voluntarily throwing or attempting to throw acid,5 to 7 years + Fine
IPC_327,"Voluntarily causing hurt to extort property or a valuable security, or to constrain to do anything which is illegal or which may facilitate the commission of an offence",10 Years + Fine
IPC_328,"Administering stupefying drug with intent to cause hurt, etc.",10 Years + Fine
IPC_329,"Voluntarily causing grievous hurt to extort property or a valuable security, or to constrain to do anything which is illegal, or which may facilitate the commission of an offence",Imprisonment for Life or 10 Years + Fine
IPC_330,"Voluntarily causing hurt to extort confession or information of property, etc.",7 Years + Fine
IPC_331,"Voluntarily causing grievous hurt to extort confession or information or to compel restoration of property, etc.",10 Years + Fine
IPC_332,Voluntarily causing hurt to deter public servant from his duty,3 Years or Fine or Both
IPC_333,Voluntarily causing grievous hurt to deter public servant from his duty,10 Years + Fine
IPC_334,"Voluntarily causing hurt on grave and sudden provocation, not intending to hurt any other than the person who gave the provocation",1 Month or Fine or Both
IPC_335,"Causing grievous hurt on Grave and sudden provocation, not intending to hurt and other than the person who gave the provocation",4 Years or Fine or Both
IPC_336,Doing any act which endangers human life or the personal safety of others,3 Months or Fine or Both
IPC_337,"Causing hurt by an act which endangers human life, etc.",6 Months or Fine or Both
IPC_338,"Causing grievous hurt by an act which endangers human life, etc.",2 Years or Fine or Both
IPC_339,nan,nan
IPC_340,nan,nan
IPC_341,Wrongfully restraining any person,Simple Imprisonment for 1 Month or Fine or Both
IPC_342,Wrongfully confining any person,1 Year or Fine or Both
IPC_343,Wrongfully confining for 3 or more days,2 Years or Fine or Both
IPC_344,Wrongfully confining for 10 or more days,3 Years + Fine
IPC_345,"Keeping any person in wrongful confinement, knowing that a writ has been issued for his liberation",2 Years in addition to imprisonment under any other section
IPC_346,Wrongful confinement in secret,2 Years in addition to imprisonment under any other section
IPC_347,"Wrongful confinement for the purpose of extorting property, or constraining to an illegal act, etc.",3 Years + Fine
IPC_348,"Wrongful confinement for the purpose of extorting confession or information, or of compelling restoration of property etc.",3 Years + Fine
IPC_349,nan,nan
IPC_350,nan,nan
IPC_351,nan,nan
IPC_352,Assault or use of criminal force otherwise than on grave provocation,3 Months or Fine or Both
IPC_353,Assault or use of criminal force to deter a public servant from discharge of his duty,2 Years or Fine or Both
IPC_354,Assault or use of criminal force to woman with intent to outrage her modesty,1 to 5 years + Fine
IPC_354A,Sexual harassment of the nature of unwelcome physical contact and advances or a demand or request for sexual favours or showing pornography,Upto 3 years or Fine or Both
IPC_354B,Criminal force to woman with intent to disrobe,3 to 7 years + Fine
IPC_354C,nan,nan
IPC_354D,Stalking,Upto 3 years + Fine for first conviction
